 Óbitos por causas externas - Bahia;;
Óbitos por Ocorrência por Município-BA e Grande Grupo CID10;;
Grande Grupo CID10: X60-X84 Lesões autoprovocadas voluntariamente;;
Período:2022;;
Município-BA;X60-X84 Lesões autoprovocadas voluntariamente;Total
290770 Chorrochó;2;2
290780 Cícero Dantas;4;4
290790 Cipó;1;1
290800 Coaraci;0;-
290810 Cocos;2;2
290820 Conceição da Feira;0;-
290830 Conceição do Almeida;1;1
290840 Conceição do Coité;2;2
290850 Conceição do Jacuípe;4;4
290860 Conde;0;-
290870 Condeúba;1;1
290880 Contendas do Sincorá;0;-
290890 Coração de Maria;0;-
290900 Cordeiros;0;-
290910 Coribe;2;2
290920 Coronel João Sá;2;2
290930 Correntina;3;3
290940 Cotegipe;0;-
290950 Cravolândia;1;1
290960 Crisópolis;3;3
290970 Cristópolis;1;1
290980 Cruz das Almas;6;6
290990 Curaçá;1;1
291000 Dário Meira;0;-
291005 Dias d'Ávila;1;1
291010 Dom Basílio;0;-
291020 Dom Macedo Costa;0;-
291030 Elísio Medrado;0;-
291040 Encruzilhada;2;2
291050 Entre Rios;3;3
290050 Érico Cardoso;0;-
291060 Esplanada;1;1
291070 Euclides da Cunha;7;7
291072 Eunápolis;7;7
291075 Fátima;2;2
291077 Feira da Mata;0;-
291080 Feira de Santana;29;29
291085 Filadélfia;0;-
291090 Firmino Alves;1;1
291100 Floresta Azul;0;-
291110 Formosa do Rio Preto;1;1
291120 Gandu;1;1
291125 Gavião;1;1
291130 Gentio do Ouro;1;1
291140 Glória;0;-
291150 Gongogi;0;-
291160 Governador Mangabeira;3;3
291165 Guajeru;0;-
291170 Guanambi;16;16
291180 Guaratinga;0;-
291185 Heliópolis;0;-
291190 Iaçu;3;3
291200 Ibiassucê;0;-
291210 Ibicaraí;4;4
291220 Ibicoara;2;2
291230 Ibicuí;0;-
291240 Ibipeba;2;2
291250 Ibipitanga;1;1
291260 Ibiquera;1;1
291270 Ibirapitanga;0;-
291280 Ibirapuã;0;-
291290 Ibirataia;2;2
291300 Ibitiara;4;4
291310 Ibititá;0;-
291320 Ibotirama;2;2
291330 Ichu;2;2
291340 Igaporã;1;1
291345 Igrapiúna;1;1
291350 Iguaí;1;1
291360 Ilhéus;16;16
291370 Inhambupe;3;3
291380 Ipecaetá;0;-
291390 Ipiaú;1;1
291400 Ipirá;2;2
291410 Ipupiara;1;1
291420 Irajuba;0;-
291430 Iramaia;1;1
291440 Iraquara;4;4
291450 Irará;0;-
291460 Irecê;12;12
291465 Itabela;0;-
291470 Itaberaba;4;4
291480 Itabuna;2;2
291490 Itacaré;2;2
291500 Itaeté;1;1
291510 Itagi;1;1
291520 Itagibá;0;-
291530 Itagimirim;0;-
291535 Itaguaçu da Bahia;0;-
291540 Itaju do Colônia;0;-
291550 Itajuípe;1;1
291560 Itamaraju;3;3
291570 Itamari;0;-
291580 Itambé;1;1
291590 Itanagra;0;-
291600 Itanhém;1;1
291610 Itaparica;0;-
291620 Itapé;0;-
291630 Itapebi;1;1
291640 Itapetinga;10;10
291650 Itapicuru;1;1
291660 Itapitanga;1;1
291670 Itaquara;1;1
291680 Itarantim;1;1
291685 Itatim;2;2
291690 Itiruçu;4;4
291700 Itiúba;1;1
291710 Itororó;3;3
291720 Ituaçu;5;5
291730 Ituberá;1;1
291733 Iuiú;0;-
291735 Jaborandi;0;-
291740 Jacaraci;0;-
291750 Jacobina;7;7
291760 Jaguaquara;2;2
291770 Jaguarari;3;3
291780 Jaguaripe;0;-
291790 Jandaíra;1;1
291800 Jequié;5;5
291810 Jeremoabo;1;1
291820 Jiquiriçá;1;1
291830 Jitaúna;0;-
291835 João Dourado;2;2
291840 Juazeiro;16;16
291845 Jucuruçu;0;-
291850 Jussara;3;3
291855 Jussari;0;-
291860 Jussiape;0;-
291870 Lafaiete Coutinho;0;-
291875 Lagoa Real;1;1
291880 Laje;1;1
291890 Lajedão;0;-
291900 Lajedinho;1;1
291905 Lajedo do Tabocal;1;1
291910 Lamarão;0;-
291915 Lapão;2;2
291920 Lauro de Freitas;8;8
291930 Lençóis;1;1
291940 Licínio de Almeida;2;2
291950 Livramento de Nossa Senhora;3;3
291955 Luís Eduardo Magalhães;8;8
291960 Macajuba;0;-
291970 Macarani;2;2
291980 Macaúbas;4;4
291990 Macururé;0;-
291992 Madre de Deus;0;-
291995 Maetinga;2;2
292000 Maiquinique;0;-
292010 Mairi;1;1
292020 Malhada;1;1
292030 Malhada de Pedras;2;2
292040 Manoel Vitorino;0;-
292045 Mansidão;0;-
292050 Maracás;3;3
292060 Maragogipe;2;2
292070 Maraú;2;2
292080 Marcionílio Souza;0;-
292090 Mascote;0;-
292100 Mata de São João;2;2
292105 Matina;1;1
292110 Medeiros Neto;0;-
292120 Miguel Calmon;2;2
292130 Milagres;0;-
292140 Mirangaba;0;-
292145 Mirante;1;1
292150 Monte Santo;2;2
292160 Morpará;1;1
292170 Morro do Chapéu;6;6
292180 Mortugaba;0;-
292190 Mucugê;1;1
292200 Mucuri;2;2
292205 Mulungu do Morro;0;-
292210 Mundo Novo;5;5
292220 Muniz Ferreira;0;-
292225 Muquém de São Francisco;0;-
292230 Muritiba;3;3
292240 Mutuípe;0;-
292250 Nazaré;3;3
292260 Nilo Peçanha;1;1
292265 Nordestina;0;-
292270 Nova Canaã;1;1
292273 Nova Fátima;2;2
292275 Nova Ibiá;0;-
292280 Nova Itarana;0;-
292285 Nova Redenção;0;-
292290 Nova Soure;4;4
292300 Nova Viçosa;1;1
292303 Novo Horizonte;2;2
292305 Novo Triunfo;0;-
292310 Olindina;1;1
292320 Oliveira dos Brejinhos;5;5
292330 Ouriçangas;1;1
292335 Ourolândia;2;2
292340 Palmas de Monte Alto;0;-
292350 Palmeiras;0;-
292360 Paramirim;3;3
292370 Paratinga;1;1
292380 Paripiranga;2;2
292390 Pau Brasil;1;1
292400 Paulo Afonso;4;4
292405 Pé de Serra;0;-
292410 Pedrão;0;-
292420 Pedro Alexandre;1;1
292430 Piatã;3;3
292440 Pilão Arcado;2;2
292450 Pindaí;0;-
292460 Pindobaçu;0;-
292465 Pintadas;0;-
292467 Piraí do Norte;0;-
292470 Piripá;0;-
292480 Piritiba;0;-
292490 Planaltino;0;-
292500 Planalto;0;-
292510 Poções;0;-
292520 Pojuca;0;-
292525 Ponto Novo;0;-
292530 Porto Seguro;16;16
292540 Potiraguá;1;1
292550 Prado;3;3
292560 Presidente Dutra;2;2
292570 Presidente Jânio Quadros;0;-
292575 Presidente Tancredo Neves;2;2
292580 Queimadas;3;3
292590 Quijingue;1;1
292593 Quixabeira;0;-
292595 Rafael Jambeiro;0;-
292600 Remanso;3;3
292610 Retirolândia;3;3
292620 Riachão das Neves;7;7
292630 Riachão do Jacuípe;0;-
292640 Riacho de Santana;3;3
292650 Ribeira do Amparo;1;1
292660 Ribeira do Pombal;5;5
292665 Ribeirão do Largo;0;-
292670 Rio de Contas;0;-
292680 Rio do Antônio;0;-
292690 Rio do Pires;2;2
292700 Rio Real;1;1
292710 Rodelas;1;1
292720 Ruy Barbosa;2;2
292730 Salinas da Margarida;0;-
292740 Salvador;112;112
292750 Santa Bárbara;0;-
292760 Santa Brígida;1;1
292770 Santa Cruz Cabrália;1;1
292780 Santa Cruz da Vitória;0;-
292790 Santa Inês;0;-
292805 Santa Luzia;0;-
292810 Santa Maria da Vitória;0;-
292840 Santa Rita de Cássia;2;2
292850 Santa Teresinha;1;1
292800 Santaluz;5;5
292820 Santana;3;3
292830 Santanópolis;1;1
292860 Santo Amaro;0;-
292870 Santo Antônio de Jesus;9;9
292880 Santo Estêvão;1;1
292890 São Desidério;0;-
292895 São Domingos;0;-
292910 São Felipe;3;3
292900 São Félix;0;-
292905 São Félix do Coribe;1;1
292920 São Francisco do Conde;0;-
292925 São Gabriel;3;3
292930 São Gonçalo dos Campos;0;-
292935 São José da Vitória;0;-
292937 São José do Jacuípe;0;-
292940 São Miguel das Matas;2;2
292950 São Sebastião do Passé;0;-
292960 Sapeaçu;4;4
292970 Sátiro Dias;1;1
292975 Saubara;0;-
292980 Saúde;1;1
292990 Seabra;10;10
293000 Sebastião Laranjeiras;2;2
293010 Senhor do Bonfim;9;9
293020 Sento Sé;1;1
293015 Serra do Ramalho;7;7
293030 Serra Dourada;4;4
293040 Serra Preta;0;-
293050 Serrinha;6;6
293060 Serrolândia;1;1
293070 Simões Filho;3;3
293075 Sítio do Mato;0;-
293076 Sítio do Quinto;1;1
293077 Sobradinho;3;3
293080 Souto Soares;0;-
293090 Tabocas do Brejo Velho;1;1
293100 Tanhaçu;5;5
293105 Tanque Novo;1;1
293110 Tanquinho;0;-
293120 Taperoá;0;-
293130 Tapiramutá;2;2
293135 Teixeira de Freitas;6;6
293140 Teodoro Sampaio;0;-
293150 Teofilândia;1;1
293160 Teolândia;2;2
293170 Terra Nova;0;-
293180 Tremedal;1;1
293190 Tucano;1;1
293200 Uauá;7;7
293210 Ubaíra;1;1
293220 Ubaitaba;0;-
293230 Ubatã;0;-
293240 Uibaí;0;-
293245 Umburanas;2;2
293250 Una;0;-
293260 Urandi;2;2
293270 Uruçuca;0;-
293280 Utinga;0;-
293290 Valença;9;9
293300 Valente;0;-
293305 Várzea da Roça;0;-
293310 Várzea do Poço;1;1
293315 Várzea Nova;3;3
293317 Varzedo;0;-
293320 Vera Cruz;1;1
293325 Vereda;0;-
293330 Vitória da Conquista;20;20
293340 Wagner;1;1
293345 Wanderley;2;2
293350 Wenceslau Guimarães;3;3
293360 Xique-Xique;1;1
290000 Município ignorado - BA;0;-
Total;842;842
 Fonte: SESAB/SUVISA/DIVEP/Sistema de Informação sobre Mortalidade - SIM;;
 Notas:;;
 ;;
   Dados sobre óbitos por causas externas (V01-Y98) de residentes na Bahia, independentemente da UF de ocorrência.;;
"   ""Períodos Disponíveis"" refere-se ao ano de ocorrência do óbito.";;
   Em 2011, houve uma mudança no conteúdo da Declaração de Óbito, com maior detalhamento das informações coletadas. Para este ano, foram;;
 utilizados simultaneamente os dois formulários. Para mais detalhes sobre as mudanças ocorridas e os seus efeitos, veja o documento;;
" ""Sistema de Informações sobre Mortalidade - SIM. Consolidação da base de dados de 2011"".";;
   Nas tabulações por Estabelecimento de saúde, foram consideradas as unidades que declararam pelo menos um óbito no SIM.;;
   Os dados de 2006 a 2013 podem estar quantitativamente diferentes da divulgação de outras fontes, em virtude de atualizações posteriores que são feitas no Estado.;;
   Última atualização realizada em 30/08/2023.;;
 ;;
